,6-base_instance_uncertain_time-results-,converged_iterations,total_time,min
Mk04_100_25,70,0,0,0
Mk04_100_50,70,0,0,0
Mk04_100_75,70,0,0,0
Mk04_25_25,70,0,0,0
Mk04_25_50,65,0,0,0
Mk04_25_75,67,0,0,0
Mk04_50_25,68,0,0,0
Mk04_50_50,70,0,0,0
Mk04_50_75,73,0,0,0
Mk04_75_25,70,0,0,0
Mk04_75_50,73,0,0,0
Mk04_75_75,78,0,0,0
Mk06_100_25,76,0,0,0
Mk06_100_50,77,0,0,0
Mk06_100_75,78,0,0,0
Mk06_25_25,74,0,0,0
Mk06_25_50,75,0,0,0
Mk06_25_75,76,0,0,0
Mk06_50_25,73,0,0,0
Mk06_50_50,74,0,0,0
Mk06_50_75,75,0,0,0
Mk06_75_25,78,0,0,0
Mk06_75_50,78,0,0,0
Mk06_75_75,80,0,0,0
Mk07_100_25,165,0,0,0
Mk07_100_50,172,0,0,0
Mk07_100_75,167,0,0,0
Mk07_25_25,157,0,0,0
Mk07_25_50,156,0,0,0
Mk07_25_75,165,0,0,0
Mk07_50_25,160,0,0,0
Mk07_50_50,160,0,0,0
Mk07_50_75,156,0,0,0
Mk07_75_25,160,0,0,0
Mk07_75_50,160,0,0,0
Mk07_75_75,158,0,0,0
Mk10_100_25,237,0,0,0
Mk10_100_50,242,0,0,0
Mk10_100_75,241,0,0,0
Mk10_25_25,243,0,0,0
Mk10_25_50,243,0,0,0
Mk10_25_75,241,0,0,0
Mk10_50_25,236,0,0,0
Mk10_50_50,241,0,0,0
Mk10_50_75,237,0,0,0
Mk10_75_25,242,0,0,0
Mk10_75_50,252,0,0,0
Mk10_75_75,249,0,0,0
