,6-base_instance_uncertain_time-results2-,converged_iterations,total_time,min
Mk04_100_25,86.0,30.0,2.733736753463745,70.0
Mk04_100_50,83.0,30.0,2.6556637287139893,69.0
Mk04_100_75,94.0,30.0,2.7493255138397217,74.0
Mk04_25_25,87.0,30.0,2.5775578022003174,66.0
Mk04_25_50,82.0,30.0,2.655630111694336,68.0
Mk04_25_75,86.0,30.0,2.7364578247070312,67.0
Mk04_50_25,86.0,30.0,2.5775201320648193,68.0
Mk04_50_50,86.0,30.0,2.73374080657959,71.0
Mk04_50_75,86.0,30.0,2.671217918395996,71.0
Mk04_75_25,84.0,30.0,2.702460289001465,68.0
Mk04_75_50,90.0,30.0,2.7805676460266113,71.0
Mk04_75_75,93.0,30.0,2.7337050437927246,78.0
Mk06_100_25,92.0,30.0,4.4520509243011475,75.0
Mk06_100_50,91.0,30.0,4.420841693878174,78.0
Mk06_100_75,96.0,30.0,4.452116250991821,75.0
Mk06_25_25,92.0,30.0,4.295906066894531,75.0
Mk06_25_50,89.0,30.0,4.342699289321899,77.0
Mk06_25_75,88.0,30.0,4.436493635177612,76.0
Mk06_50_25,91.0,30.0,4.436461925506592,76.0
Mk06_50_50,89.0,30.0,4.42084002494812,74.0
Mk06_50_75,92.0,30.0,4.295870304107666,77.0
Mk06_75_25,95.0,30.0,4.405188798904419,79.0
Mk06_75_50,93.0,30.0,4.35835599899292,76.0
Mk06_75_75,95.0,30.0,4.420872211456299,79.0
Mk07_100_25,190.0,30.0,3.233617067337036,161.0
Mk07_100_50,196.0,30.0,3.2023751735687256,169.0
Mk07_100_75,215.0,30.0,3.2648627758026123,166.0
Mk07_25_25,210.0,30.0,3.1867547035217285,161.0
Mk07_25_50,175.0,30.0,3.2492733001708984,156.0
Mk07_25_75,197.0,30.0,3.1711337566375732,170.0
Mk07_50_25,182.0,30.0,3.280480146408081,160.0
Mk07_50_50,185.0,30.0,3.124272108078003,162.0
Mk07_50_75,180.0,30.0,3.2180283069610596,155.0
Mk07_75_25,192.0,30.0,3.233619451522827,156.0
Mk07_75_50,215.0,30.0,3.4054863452911377,165.0
Mk07_75_75,189.0,30.0,3.2960715293884277,159.0
Mk10_100_25,272.0,30.0,7.748186826705933,242.0
Mk10_100_50,273.0,30.0,7.797667741775513,242.0
Mk10_100_75,276.0,30.0,7.826295614242554,235.0
Mk10_25_25,272.0,30.0,8.23245096206665,236.0
Mk10_25_50,286.0,30.0,7.779429197311401,239.0
Mk10_25_75,281.0,30.0,7.763807535171509,235.0
Mk10_50_25,278.0,30.0,7.763774871826172,248.0
Mk10_50_50,284.0,30.0,7.685671806335449,244.0
Mk10_50_75,279.0,30.0,7.826260566711426,239.0
Mk10_75_25,266.0,30.0,7.7950849533081055,241.0
Mk10_75_50,290.0,30.0,7.716914653778076,251.0
Mk10_75_75,279.0,30.0,7.654459238052368,247.0
